id,Decision,Host_response_time,Host_is_superhost,Host_has_profile_pic,Host_identity_verified,Neighbourhood,Property_type,Room_type,Accommodates,Bathrooms_text,Bedrooms,Beds,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month
38,1,within an hour,t,t,f,28805,Entire guest suite,Entire home/apt,6,1 bath,2,3,5,3,0,1,$114.00 ,207,4.94,t,September
39,0,within an hour,t,t,t,28806,Entire house,Entire home/apt,14,3 baths,3,6,4,5,1,1,$366.00 ,11,4.91,f,June
40,1,within an hour,t,t,f,28803,Private room in residential home,Private room,2,1 private bath,1,1,5,2,1,1,$72.00 ,18,4.94,f,August
41,1,within an hour,t,t,t,28805,Entire rental unit,Entire home/apt,4,1 bath,2,2,5,4,1,1,$140.00 ,350,4.96,t,September
42,1,,f,t,t,28804,Entire townhouse,Entire home/apt,8,1 bath,2,3,5,5,1,1,$165.00 ,41,4.73,t,June
43,0,,t,t,t,28804,Entire house,Entire home/apt,4,1 bath,2,2,5,5,1,1,$125.00 ,272,4.94,f,July
44,1,within an hour,f,t,t,28801,Entire residential home,Entire home/apt,12,3 baths,2,6,5,5,1,1,$574.00 ,107,4.92,t,August
45,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,16,5 baths,8,18,5,5,1,1,$825.00 ,55,5,t,July
46,1,within an hour,t,t,t,28804,Entire residential home,Entire home/apt,10,2.5 baths,3,4,5,5,1,1,$390.00 ,94,4.97,t,August
47,1,within an hour,f,t,t,28806,Entire apartment,Entire home/apt,2,1 bath,1,1,5,2,1,1,$96.00 ,231,4.73,f,July
48,1,within an hour,t,t,t,28806,Entire townhouse,Entire home/apt,4,2.5 baths,2,2,5,5,1,0,$167.00 ,0,,t,June
49,1,within an hour,f,t,f,28801,Room in boutique hotel,Private room,2,1 bath,1,1,5,5,0,1,$314.00 ,0,,t,August
50,1,,t,t,t,28803,Entire cabin,Entire home/apt,8,3 baths,4,5,4,3,0,1,$354.00 ,2,5,t,August
51,0,within an hour,t,t,t,28804,Entire house,Entire home/apt,4,1 bath,1,2,5,5,1,1,$144.00 ,71,5,t,July
52,1,within an hour,t,t,t,28801,Entire apartment,Entire home/apt,2,1 bath,1,1,5,5,0,1,$223.00 ,24,4.96,f,July
53,1,within an hour,t,t,t,28806,Entire guest suite,Entire home/apt,2,1 bath,1,1,5,3,1,1,$97.00 ,44,4.98,t,June
54,1,within an hour,t,t,t,28806,Entire guest suite,Entire home/apt,2,1 bath,1,0,5,5,1,1,$100.00 ,353,4.95,f,September
55,1,within an hour,t,t,t,28803,Private room in residential home,Private room,3,1 shared bath,1,1,5,5,1,1,$91.00 ,18,5,t,September
56,1,within an hour,t,t,t,28804,Entire guest suite,Entire home/apt,2,1 bath,1,2,5,4,1,1,$141.00 ,331,4.94,f,August
57,1,,f,t,f,28801,Private room in guest suite,Private room,2,1 private bath,,1,5,3,1,1,$192.00 ,100,4.94,t,September
58,1,,,,,28801,Entire guest suite,Entire home/apt,2,1 bath,,2,5,2,0,0,$322.00 ,0,,t,June
59,0,within an hour,f,t,t,28803,Entire cottage,Entire home/apt,6,2 baths,3,4,5,5,1,1,$300.00 ,18,5,f,August
60,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,10,3.5 baths,4,4,5,5,1,1,$458.00 ,126,4.95,f,July
61,0,within an hour,t,t,f,28806,Entire guest suite,Entire home/apt,3,1 bath,1,2,5,3,0,1,$60.00 ,69,4.91,t,July
62,1,within an hour,f,t,t,28801,Private room in bed and breakfast,Private room,2,1 private bath,1,1,5,3,1,1,$291.00 ,1,5,t,August
63,1,within an hour,t,t,t,28801,Entire townhouse,Entire home/apt,8,3 baths,3,3,5,5,1,1,$538.00 ,27,5,t,July
64,1,within an hour,f,t,t,28801,Entire condominium,Entire home/apt,4,1 bath,1,2,4,4,0,1,$145.00 ,3,5,t,June
65,0,within a few hours,f,t,t,28806,Entire guest suite,Entire home/apt,4,1 bath,1,1,5,4,1,1,$150.00 ,38,4.95,f,September
66,1,within an hour,t,t,t,28801,Entire apartment,Entire home/apt,4,1 bath,2,2,5,5,1,1,$215.00 ,89,4.97,f,June
67,1,within an hour,t,t,t,28806,Private room in house,Private room,2,1 shared bath,1,1,4,1,1,1,$127.00 ,18,4.72,t,July
68,1,within an hour,t,t,t,28801,Entire house,Entire home/apt,2,1 bath,1,1,5,4,1,1,$105.00 ,337,4.94,t,July
69,1,within an hour,t,t,f,28801,Private room in house,Private room,2,1.5 shared baths,1,1,5,5,1,1,$124.00 ,100,4.7,f,June
70,1,within an hour,t,t,t,28803,Entire cabin,Entire home/apt,8,3 baths,4,5,4,3,0,1,$354.00 ,2,5,t,July
71,1,within an hour,t,t,t,28806,Entire residential home,Entire home/apt,6,1 bath,3,4,5,5,0,1,$176.00 ,128,4.72,t,August
72,1,within an hour,f,t,f,28804,Entire guest suite,Entire home/apt,3,1 bath,1,1,5,5,1,1,$99.00 ,6,5,t,August
73,1,within an hour,t,t,t,28805,Private room in guest suite,Private room,2,1 private bath,1,1,4,1,0,1,$105.00 ,274,4.96,f,July
74,0,within a few hours,f,t,t,28806,Entire residential home,Entire home/apt,7,2.5 baths,2,2,5,5,1,1,$135.00 ,3,5,f,August
75,1,within an hour,f,t,t,28801,Entire condominium,Entire home/apt,3,2 baths,1,1,5,3,0,1,$143.00 ,12,4.83,t,June
76,1,within an hour,t,t,t,28804,Private room in house,Private room,2,1 shared bath,1,1,5,1,0,1,$50.00 ,95,4.84,t,July
77,1,within an hour,f,t,f,28806,Entire guest suite,Entire home/apt,2,1 bath,1,1,5,3,1,1,$146.00 ,16,5,t,September
78,1,within an hour,t,t,f,28801,Entire apartment,Entire home/apt,4,1 bath,1,1,5,5,1,1,$105.00 ,101,4.94,f,July
79,1,within a day,f,t,t,28805,Entire guest suite,Entire home/apt,2,1 bath,1,1,4,2,1,1,$99.00 ,9,4.78,f,June
80,1,within an hour,f,t,t,28805,Entire residential home,Entire home/apt,8,2 baths,3,4,4,4,1,1,$486.00 ,2,4.5,t,August
81,1,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,6,2 baths,2,3,5,5,1,1,$224.00 ,38,4.74,t,August
82,0,within an hour,t,t,t,28804,Entire house,Entire home/apt,5,1 bath,2,2,5,5,1,1,$161.00 ,92,4.93,t,July
83,1,within an hour,t,t,t,28804,Entire rental unit,Entire home/apt,5,1 bath,2,2,5,5,1,1,$200.00 ,24,4.88,f,September
84,0,within an hour,f,t,f,28801,Entire rental unit,Entire home/apt,2,1 bath,1,1,5,5,1,1,$154.00 ,47,4.74,t,August
85,1,,,,,28805,Private room in bed and breakfast,Private room,2,1 private bath,1,2,2,0,0,0,$244.00 ,0,,t,August
86,0,within an hour,t,t,t,28704,Casa particular (Cuba),Entire home/apt,2,1 bath,1,1,5,5,1,1,$74.00 ,66,4.98,t,June
87,1,within an hour,t,t,t,28804,Entire house,Entire home/apt,4,1 bath,2,3,5,5,1,1,$271.00 ,11,4.91,t,June
88,1,within an hour,t,t,t,28801,Entire apartment,Entire home/apt,2,1 bath,1,1,4,1,0,1,$231.00 ,104,4.96,t,June
89,1,within an hour,t,t,t,28805,Private room in house,Private room,2,1.5 baths,1,1,5,4,1,1,$131.00 ,542,4.95,f,July
90,1,within an hour,t,t,f,28715,Private room in residential home,Private room,2,1 shared bath,1,1,4,4,1,1,$55.00 ,74,4.93,f,August
91,1,within a few hours,t,t,f,28805,Entire house,Entire home/apt,4,1 bath,2,2,5,5,0,1,$141.00 ,8,5,t,July
92,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,4,1 bath,2,2,5,5,1,1,$145.00 ,60,4.93,t,June
93,1,within an hour,t,t,t,28801,Private room in guest suite,Private room,2,1 private bath,1,2,5,2,1,1,$189.00 ,10,5,t,July
94,1,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,6,2 baths,2,3,5,5,1,1,$481.00 ,18,4.94,t,August
95,0,within an hour,t,t,f,28803,Private room in house,Private room,2,1 private bath,1,1,4,1,1,1,$77.00 ,9,5,f,July
96,1,within an hour,t,t,t,28803,Entire house,Entire home/apt,8,2 baths,4,5,5,5,1,1,$296.00 ,84,4.86,t,June
97,0,within an hour,t,t,f,28732,Private room in house,Private room,2,1 shared bath,1,1,5,4,1,1,$47.00 ,205,4.96,t,July
98,1,within an hour,f,t,t,28801,Entire condominium,Entire home/apt,4,1 bath,1,2,3,3,1,0,$160.00 ,1,5,t,June
99,1,within an hour,t,t,t,28704,Entire residential home,Entire home/apt,6,1 bath,2,3,5,5,1,1,$166.00 ,34,4.82,f,August
100,1,,f,t,t,28805,Entire guest suite,Entire home/apt,2,1 bath,1,1,5,2,1,1,$70.00 ,38,4.84,f,September
101,1,within an hour,t,t,f,28732,Entire townhouse,Entire home/apt,4,1.5 baths,2,2,2,0,0,1,$95.00 ,12,4.92,t,September
102,1,within an hour,t,t,t,28732,Entire guest suite,Entire home/apt,4,1 bath,2,3,5,4,1,1,$196.00 ,75,5,t,September
103,0,within an hour,t,t,f,28704,Entire house,Entire home/apt,8,3.5 baths,4,4,4,5,1,1,$532.00 ,6,4.83,f,July
104,1,within an hour,t,t,t,28804,Entire house,Entire home/apt,12,3 baths,5,7,5,5,1,1,$638.00 ,17,5,t,July
105,1,,f,t,t,28803,Entire house,Entire home/apt,4,1 bath,2,2,4,2,0,1,$205.00 ,6,5,t,June
106,0,within an hour,t,t,t,28806,Private room in residential home,Private room,2,1 private bath,1,1,5,3,1,1,$51.00 ,7,5,t,August
107,1,within an hour,t,t,f,28806,Campsite,Entire home/apt,4,1 bath,,0,2,0,1,1,$19.00 ,31,4.9,t,September
108,0,within a few hours,f,t,t,28801,Entire house,Entire home/apt,6,2 baths,3,4,5,5,1,1,$195.00 ,72,4.72,t,June
109,1,within an hour,t,t,f,28805,Entire guest suite,Entire home/apt,4,1 bath,1,2,5,5,1,1,$152.00 ,33,4.88,t,September
110,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,6,1 bath,2,2,5,4,1,1,$176.00 ,92,4.96,t,July
111,0,within an hour,t,t,f,28806,Entire residential home,Entire home/apt,7,2 baths,3,5,5,5,1,1,$125.00 ,97,4.97,f,August
112,1,within an hour,t,t,t,28801,Entire townhouse,Entire home/apt,8,3 baths,3,3,5,5,1,1,$509.00 ,31,5,t,August
113,0,within an hour,t,t,f,28806,Entire cabin,Entire home/apt,4,1 bath,2,2,5,5,1,1,$173.00 ,171,4.95,t,August
114,1,within an hour,t,t,f,28806,Entire apartment,Entire home/apt,4,1 bath,1,2,5,3,1,1,$153.00 ,23,5,f,June
115,0,within an hour,t,t,t,28801,Entire house,Entire home/apt,5,1 bath,2,3,5,5,1,1,$245.00 ,84,5,f,June
116,0,,t,t,t,28806,Entire guest suite,Entire home/apt,5,1 bath,1,1,5,5,1,1,$110.00 ,76,4.92,f,September
117,0,,t,t,t,28801,Private room in house,Private room,2,1 private bath,1,1,5,3,0,1,$75.00 ,75,4.88,t,June
118,0,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,4,1 bath,1,2,5,5,0,1,$249.00 ,44,4.93,t,September
119,0,within an hour,f,t,t,28805,Entire house,Entire home/apt,8,3 baths,4,4,4,4,1,1,$380.00 ,12,4.75,t,June
120,0,,f,t,f,28801,Entire residential home,Entire home/apt,2,1 bath,1,1,4,0,1,1,$200.00 ,0,,f,September
121,0,,,,,28732,Private room in bed and breakfast,Private room,2,1 private bath,1,2,5,1,0,0,$201.00 ,0,,t,August
122,1,within an hour,t,t,t,28803,Entire residential home,Entire home/apt,7,1 bath,3,4,5,5,1,1,$135.00 ,113,4.96,f,September
123,1,within an hour,f,t,t,28801,Entire apartment,Entire home/apt,2,1 bath,1,1,3,0,0,1,$125.00 ,155,4.54,f,June
124,1,within an hour,t,t,f,28803,Private room in residential home,Private room,2,1 private bath,1,1,5,4,1,1,$119.00 ,17,5,f,September
125,0,within an hour,t,t,f,28803,Private room in house,Private room,2,1 private bath,1,1,5,3,0,1,$85.00 ,123,4.81,f,July
126,0,within an hour,t,t,t,28806,Entire house,Entire home/apt,6,2 baths,3,3,5,5,1,1,$110.00 ,99,4.86,f,June
127,0,within an hour,t,t,t,28806,Private room in residential home,Private room,2,1 private bath,1,,5,3,1,1,$94.00 ,20,5,f,August
128,0,within an hour,t,t,t,28803,Entire condominium (condo),Entire home/apt,4,2 baths,2,2,5,5,1,1,$80.00 ,0,,f,September
129,1,within an hour,f,t,t,28804,Tiny house,Entire home/apt,2,1 bath,,1,4,2,1,1,$98.00 ,129,4.75,t,July
130,1,,t,t,t,28806,Entire house,Entire home/apt,4,1 bath,2,3,5,5,1,1,$133.00 ,43,4.86,t,June
131,0,within an hour,t,t,t,28804,Entire residential home,Entire home/apt,2,1 bath,1,0,5,5,1,1,$55.00 ,13,5,f,September
132,1,within an hour,f,t,t,28704,Private room in residential home,Private room,2,1 private bath,1,1,5,1,1,1,$54.00 ,13,4.77,t,August
133,1,within an hour,f,t,t,28803,Entire residential home,Entire home/apt,8,2 baths,3,4,5,5,0,1,$148.00 ,104,4.85,t,August
134,1,within an hour,t,t,t,28732,Entire cabin,Entire home/apt,6,2 baths,1,5,5,5,1,1,$205.00 ,194,4.94,f,June
135,1,,t,t,t,28704,Entire guesthouse,Entire home/apt,2,1 bath,1,1,5,5,1,1,$115.00 ,10,4.7,f,August
136,1,within a day,t,t,f,28704,Private room in residential home,Private room,2,1 private bath,1,1,5,2,1,1,$80.00 ,104,4.98,f,August
137,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,4,2 baths,2,2,5,5,1,1,$236.00 ,17,4.94,f,July
138,1,within an hour,f,t,t,28803,Entire guest suite,Entire home/apt,2,1 bath,,1,4,0,0,1,$94.00 ,6,5,f,July
139,0,,t,t,t,28801,Entire residential home,Entire home/apt,6,2.5 baths,2,3,5,5,1,1,$329.00 ,35,4.97,f,September
140,1,within an hour,t,t,t,28804,Entire rental unit,Entire home/apt,4,1 bath,2,2,4,3,0,0,$134.00 ,16,4.94,f,September
141,0,within an hour,t,t,t,28801,Entire residential home,Entire home/apt,5,1 bath,2,3,5,5,1,1,$226.00 ,92,5,f,September
142,0,within an hour,t,t,f,28806,Entire house,Entire home/apt,6,1.5 baths,3,3,5,5,1,1,$135.00 ,22,5,f,June
143,1,within an hour,t,t,f,28803,Entire house,Entire home/apt,10,2.5 baths,3,5,5,5,1,1,$325.00 ,64,4.92,f,June
144,1,within an hour,f,t,t,28801,Private room,Private room,4,1 bath,1,2,5,3,0,1,$119.00 ,57,4.39,t,June
145,1,within an hour,t,t,f,28803,Entire guest suite,Entire home/apt,4,1 bath,2,2,5,5,1,1,$155.00 ,110,4.92,t,June
146,0,,,,,28805,Entire guest suite,Entire home/apt,2,1 bath,,2,5,3,0,0,$317.00 ,0,,t,August
147,0,within an hour,t,t,t,28803,Entire bungalow,Entire home/apt,6,2 baths,3,4,5,5,0,1,$90.00 ,11,5,f,June
148,0,,f,t,t,28801,Entire apartment,Entire home/apt,2,1.5 baths,1,1,5,5,1,1,$75.00 ,8,4.71,f,June
149,1,within an hour,t,t,t,28805,Private room in residential home,Private room,2,1 private bath,1,1,4,1,0,1,$117.00 ,319,4.96,t,September
150,0,within an hour,t,t,t,28804,Entire cottage,Entire home/apt,4,1 bath,3,3,5,5,1,1,$186.00 ,35,4.89,f,June
151,1,within an hour,t,t,f,28806,Private room in camper/rv,Private room,2,1 private bath,1,0,2,0,1,1,$26.00 ,74,4.92,t,July
152,1,within an hour,t,t,t,28804,Entire guest suite,Entire home/apt,2,1 bath,1,2,5,4,1,1,$150.00 ,324,4.94,f,July
153,0,within an hour,t,t,f,28805,Entire cottage,Entire home/apt,8,1 bath,3,3,5,5,1,1,$80.00 ,258,4.97,t,August
154,0,,f,t,f,28801,Entire townhouse,Entire home/apt,6,2.5 baths,3,4,5,5,1,1,$361.00 ,5,5,f,September
155,1,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,6,2 baths,2,3,4,4,0,1,$381.00 ,74,4.81,t,August
156,1,within an hour,f,t,f,28806,Entire guest suite,Entire home/apt,2,1 bath,1,1,5,3,1,1,$109.00 ,28,5,t,June
157,0,within a few hours,t,t,t,28804,Entire place,Entire home/apt,2,1 bath,1,1,5,5,1,1,$114.00 ,133,4.86,f,July
158,1,within an hour,t,t,t,28801,Entire townhouse,Entire home/apt,6,3 baths,3,4,5,5,1,1,$538.00 ,4,4.75,t,August
159,0,within a few hours,f,t,f,28804,Entire house,Entire home/apt,4,1.5 baths,2,2,4,0,0,1,$88.00 ,0,,f,June
160,0,within a day,t,t,t,28803,Entire condominium (condo),Entire home/apt,4,2 baths,2,2,5,0,1,1,$95.00 ,5,5,f,September
161,0,within an hour,f,t,t,28806,Entire bungalow,Entire home/apt,3,1.5 baths,2,2,4,1,0,1,$115.00 ,68,4.94,f,June
162,0,within a few hours,t,t,t,28806,Entire house,Entire home/apt,4,1 bath,2,2,5,5,0,1,$156.00 ,16,4.81,t,July
163,1,within an hour,f,t,f,28804,Entire rental unit,Entire home/apt,4,1 bath,2,2,3,4,0,1,$218.00 ,22,4.91,t,August
164,0,within an hour,t,t,t,28803,Entire house,Entire home/apt,8,3 baths,4,4,5,5,1,1,$273.00 ,125,4.89,f,June
165,1,within an hour,t,t,t,28801,Private room in bed and breakfast,Private room,2,1 bath,1,1,5,1,0,1,$195.00 ,2,5,t,August
166,0,within an hour,t,t,t,28805,Entire chalet,Entire home/apt,12,4.5 baths,4,4,5,5,1,1,$377.00 ,130,4.98,t,June
167,1,within an hour,t,t,t,28805,Entire chalet,Entire home/apt,4,2 baths,2,2,5,5,1,1,$218.00 ,28,4.89,t,August
168,1,within an hour,t,t,f,28803,Entire cottage,Entire home/apt,4,1 bath,1,2,5,5,0,1,$190.00 ,62,4.9,t,September
169,0,within an hour,t,t,f,28803,Entire house,Entire home/apt,10,2 baths,3,5,5,5,1,1,$134.00 ,355,4.89,t,June
170,1,within an hour,t,t,t,28801,Entire apartment,Entire home/apt,4,3 baths,2,2,4,1,0,1,$185.00 ,84,4.93,t,July
171,1,within an hour,t,t,t,28804,Entire residential home,Entire home/apt,8,3 baths,3,3,5,5,1,1,$364.00 ,17,4.67,t,September
172,1,within an hour,t,t,t,28801,Entire house,Entire home/apt,4,1 bath,1,3,5,5,1,1,$150.00 ,389,4.92,t,July
173,0,within an hour,t,t,t,28803,Entire house,Entire home/apt,4,1.5 baths,2,2,5,5,1,1,$60.00 ,0,,f,July
174,0,within an hour,t,t,t,28704,Entire house,Entire home/apt,11,3 baths,4,7,5,5,1,1,$483.00 ,9,5,t,July
175,1,within an hour,t,t,f,28803,Entire guest suite,Entire home/apt,2,1 bath,1,1,5,3,1,1,$164.00 ,174,4.97,t,June
176,1,within an hour,f,t,f,28806,Camper/RV,Entire home/apt,2,1 bath,1,,4,1,0,1,$81.00 ,1,5,f,June
177,1,within an hour,f,t,t,28804,Entire house,Entire home/apt,4,1 bath,1,2,5,5,1,0,$125.00 ,7,5,t,July
178,0,within an hour,t,t,t,28803,Private room in residential home,Private room,2,1 private bath,1,1,5,3,0,1,$97.00 ,91,4.99,f,September
179,0,,f,t,f,28732,Entire cabin,Entire home/apt,4,1 bath,1,0,5,0,1,1,$300.00 ,9,4.56,f,July
180,1,within an hour,t,t,t,28801,Entire apartment,Entire home/apt,2,1 bath,1,1,4,1,0,1,$227.00 ,108,4.96,t,July
181,1,within a few hours,f,t,f,28801,Room in bed and breakfast,Hotel room,2,1 bath,1,1,4,0,0,1,$438.00 ,0,,t,August
182,1,within an hour,t,t,t,28806,Entire guest suite,Entire home/apt,2,1 bath,,1,5,3,0,1,$62.00 ,48,4.96,t,July
183,0,,f,t,t,28803,Entire apartment,Entire home/apt,2,1 bath,1,1,4,0,0,1,$151.00 ,163,4.96,f,June
184,1,within an hour,t,t,t,28804,Entire residential home,Entire home/apt,12,2.5 baths,4,6,5,5,1,1,$468.00 ,79,5,f,August
185,0,within an hour,t,t,t,28804,Entire house,Entire home/apt,12,3 baths,5,7,5,5,1,1,$638.00 ,16,5,t,June
186,0,,f,t,f,28801,Private room in house,Private room,2,1 bath,1,1,2,0,0,1,$125.00 ,58,4.96,f,June
187,0,within a few hours,t,t,f,28803,Entire residential home,Entire home/apt,2,1 bath,1,1,5,5,1,0,$115.00 ,137,4.92,f,September
188,1,within an hour,f,t,t,28806,Entire house,Entire home/apt,7,3 baths,3,4,3,4,1,0,$512.00 ,42,4.93,t,July
189,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,4,1 bath,2,2,5,5,1,1,$226.00 ,31,4.9,t,June
190,0,within an hour,t,t,t,28801,Entire chalet,Entire home/apt,4,1 bath,2,2,5,5,1,1,$196.00 ,251,4.88,t,July
191,1,within an hour,t,t,t,28806,Shared room in hostel,Shared room,3,2.5 shared baths,1,1,5,5,1,1,$33.00 ,84,4.65,t,August
192,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,6,2 baths,3,3,5,5,1,1,$196.00 ,86,4.9,t,June
193,0,within an hour,t,t,t,28801,Private room in bungalow,Private room,2,1 private bath,1,2,5,3,1,1,$42.00 ,198,4.9,f,September
194,1,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,4,1 bath,1,2,5,5,0,1,$243.00 ,41,4.93,t,August
195,1,within an hour,f,t,t,28806,Entire residential home,Entire home/apt,8,2 baths,5,5,4,1,0,1,$102.00 ,34,4.68,t,August
196,1,within an hour,f,t,f,28804,Entire rental unit,Entire home/apt,4,2 baths,2,4,5,3,0,1,$244.00 ,18,5,t,August
197,1,within an hour,t,t,t,28806,Entire house,Entire home/apt,10,3.5 baths,4,4,5,5,1,1,$506.00 ,124,4.95,f,June
198,0,within an hour,f,t,f,28804,Entire guest suite,Entire home/apt,4,1 bath,2,2,5,5,1,1,$98.00 ,174,4.65,f,June
199,0,within a day,f,t,t,28806,Entire cottage,Entire home/apt,4,2.5 baths,3,3,5,0,0,1,$149.00 ,0,,f,June
200,1,,f,t,f,28804,Entire townhouse,Entire home/apt,8,2.5 baths,4,6,5,5,1,1,$411.00 ,36,4.89,f,August
201,1,within an hour,t,t,t,28806,Entire cottage,Entire home/apt,4,1 bath,2,2,5,5,1,1,$139.00 ,103,4.89,t,June
202,0,within an hour,t,t,t,28801,Entire rental unit,Entire home/apt,3,1 bath,1,1,5,5,0,1,$155.00 ,182,4.92,t,September
203,0,within a few hours,t,t,t,28806,Entire house,Entire home/apt,5,2 baths,2,3,5,3,1,1,$198.00 ,59,4.95,f,June
